"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSGALG00000028659",4.80549957119504,1.57990224715044,0.524330701233926,3.01317897928235,0.00258526397749547,0.0331462178447979
"ENSGALG00000028816",6.20816983875102,1.16096835869276,0.385894435615121,3.00851282512577,0.00262529721037029,0.0334116832644167
"ENSGALG00000028886",16.9347433741393,1.99122924563271,0.696073683100889,2.86065871182218,0.0042276188659773,0.0456750654959541
"ENSGALG00000028982",666.134820217283,-1.15187129369687,0.367030437768138,-3.13835359459898,0.00169899786104627,0.0247903211766572
"ENSGALG00000029644",122.749492229058,-1.09795282569832,0.243846227259917,-4.50264430184521,6.71131562226757e-06,0.000469348370211803
"ENSGALG00000029836",13.1611806721056,1.04737281906019,0.325941353029679,3.21337814095907,0.0013118345171345,0.0207490536149386
"ENSGALG00000030007",1034.74341910908,1.62361655328999,0.429273147882404,3.78224578289898,0.00015541978771691,0.0046802926820658
"ENSGALG00000030025",171.188692257102,-3.69418598333946,0.805477745756149,-4.58632904857168,4.51107446459205e-06,0.000343898307381783
"ENSGALG00000030492",4.44723232217653,1.69204153010653,0.441827610845292,3.82964189781929,0.000128329868462355,0.00406714362145487
"ENSGALG00000030614",962.316880553049,-2.29825650727099,0.449689656440845,-5.1107613314057,3.20863129192893e-07,5.21417902229195e-05
"ENSGALG00000030629",2.30530446040849,-1.81966976731116,0.644508392887818,-2.82334533947316,0.00475253495794701,0.0492400644898785
"ENSGALG00000031164",253.79441655737,2.16496250947262,0.200836167850026,10.7797441698315,4.29077442065906e-27,7.26170662952339e-23
"ENSGALG00000031794",800.820460427517,1.18714182432392,0.268626023769153,4.41931056294124,9.90162718302873e-06,0.000627622241369207
"ENSGALG00000032887",7.57182468474564,1.49872255541475,0.51365535656732,2.91775903093951,0.00352556686025615,0.0406172182048843
"ENSGALG00000033171",1052.51817268888,1.24214489088896,0.340710587801826,3.6457478439486,0.00026661531218081,0.00693117902203998
