"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSGALG00000034741",264.436347916792,-1.02883903756432,0.318337693756487,-3.2319108221954,0.00122965424841015,0.0198593455783487
"ENSGALG00000035803",30.8929201215799,-4.45368647212435,0.954205453095515,-4.66742928126878,3.04991673249206e-06,0.000256799954132814
"ENSGALG00000039403",12.4846138022843,-1.55198692556043,0.451359097166213,-3.43847489793456,0.000585000772123044,0.0118711667474945
"ENSGALG00000040434",75.3961389815374,-1.79603457961458,0.517146626390593,-3.47296973036436,0.000514733404840631,0.0108891851794035
"ENSGALG00000041042",12.0989414547872,-1.2271777760285,0.334327510418395,-3.67058569153565,0.00024199532177306,0.00642940161018408
"ENSGALG00000041491",81.0223194499125,-1.02406023371973,0.286784063827715,-3.57084079237726,0.000355837145494622,0.0084819547188042
"ENSGALG00000042293",40.9001339790943,-1.00959104205113,0.265546779425179,-3.80193291832258,0.000143571604199688,0.00442223862715668
"ENSGALG00000045085",923.59444626253,-1.30604156299788,0.382530507071361,-3.4142154386506,0.00063965973862286,0.012619465810385
"ENSGALG00000046316",14.344685334344,-1.16608556500768,0.392804888712337,-2.96861265864141,0.00299147421028706,0.0363532436814914
"ENSGALG00000046338",25.253809053672,-1.13810273150216,0.326537758754079,-3.48536333392085,0.000491469206825782,0.0105286390586323
"ENSGALG00000046976",14.1794320252556,-1.19315270859986,0.308337743951928,-3.86962910640573,0.000109001047958041,0.00362423130774437
"ENSGALG00000047026",19.9750714663267,-2.07900884704656,0.468071374471096,-4.44164920231614,8.9272013588262e-06,0.000578865731022125
"ENSGALG00000047038",15.3762414050745,-1.31231985023455,0.302333954135932,-4.34063006249215,1.42074743012867e-05,0.00084367471956132
"ENSGALG00000047199",472.678413906513,-2.65315524902212,0.4611567784561,-5.75326087129107,8.75382419182029e-09,2.51101221393842e-06
"ENSGALG00000047863",7.62733500558949,-1.31105651744932,0.375867650269689,-3.48808022320789,0.000486502085020706,0.0104486818361554
"ENSGALG00000048114",7.56888251532447,-1.46477363545283,0.453108009711143,-3.23272509878301,0.00122615492616316,0.0198593455783487
"ENSGALG00000048184",11.9253895877127,-4.18772675123684,1.13030963633848,-3.7049376707099,0.000211442719937031,0.00584715129446783
"ENSGALG00000048204",11.7972672591282,-1.00075110509207,0.331178007388111,-3.02179215638339,0.00251283020540887,0.0325628931059263
"ENSGALG00000048323",7.45583259742611,-1.23970044037078,0.397171254292207,-3.1213246854434,0.00180039411197033,0.0258000592303014
"ENSGALG00000048486",23.49469511361,-1.70317963747722,0.526250867952151,-3.23644052902936,0.00121030442904489,0.0197143331637688
"ENSGALG00000048687",2109.8235955378,-1.16611573130306,0.142832680074193,-8.1642081538856,3.23550564106997e-16,1.09515394938936e-12
"ENSGALG00000048881",11.7335507291506,-1.15406638467772,0.40144661860924,-2.87476922504873,0.00404322901153073,0.044404535458692
"ENSGALG00000049080",8.32424284088288,-1.00258010979543,0.345298699024929,-2.90351545669464,0.00368998755886572,0.0417172476358215
"ENSGALG00000049296",8.94660117372334,-1.15435228042084,0.33865491926235,-3.40863874924723,0.000652878744136154,0.0127885646594448
"ENSGALG00000049600",6.05996953982129,-1.33619325290167,0.445670159702217,-2.9981662981306,0.0027160942194125,0.0340245585265264
"ENSGALG00000049686",3.99497980923961,-4.17195588144301,1.14070762475115,-3.65734022541767,0.000254846015323081,0.00670764224467779
"ENSGALG00000050294",81.7353434024035,-1.05878196945294,0.169676319308162,-6.24001023696182,4.37542258099604e-10,2.46832172535923e-07
"ENSGALG00000050718",11.6861072738571,-1.60537607150755,0.334454819106588,-4.79997889041009,1.5868235552231e-06,0.000154341389934458
"ENSGALG00000051077",9.95399506940791,-1.27269637815618,0.362380922751296,-3.51204022687926,0.000444680685795659,0.00981196339818218
"ENSGALG00000051152",6.19860039734947,-1.22855589175549,0.399643766151194,-3.07412750006639,0.00211119184529098,0.0287259356380477
"ENSGALG00000051748",88.1227591930662,-1.54500813951219,0.489782507826427,-3.15447798731866,0.00160785507319836,0.0240382855643189
"ENSGALG00000051868",5.90038135700268,-1.16069035414219,0.411796867209221,-2.8185992817485,0.00482336919009257,0.0495632666503501
"ENSGALG00000051987",7.61950835614282,-1.74962707393982,0.512122293927185,-3.41642434763557,0.000634492906131346,0.012588696299375
"ENSGALG00000052243",102.078085276329,-2.57131172892093,0.472038514547972,-5.44724985287109,5.11545826228523e-08,1.1543202084122e-05
"ENSGALG00000052887",225.345007388134,-1.19701025849022,0.386008178209148,-3.10099714478498,0.00192870150336709,0.0269763175561857
"ENSGALG00000052950",25.9906881210317,-1.11092818479936,0.222685522435471,-4.98877597721368,6.0763060208418e-07,7.97173667416485e-05
"ENSGALG00000053053",4.57406166744298,-3.57980483467432,0.665253966613725,-5.38111009378303,7.40279005756293e-08,1.56606023667744e-05
"ENSGALG00000053380",3.56840415316064,-2.73101761604343,0.91617582878292,-2.98088808964913,0.00287413803609827,0.0352477624079182
"ENSGALG00000053413",4.86228240351308,-1.59668876162273,0.522772319589818,-3.05427181545407,0.00225607568332778,0.0299935780554905
"ENSGALG00000053495",6.40171848610193,-1.33041419189761,0.409605301830478,-3.2480394808176,0.00116203145534981,0.019205293310879
"ENSGALG00000053626",4.24897734491006,-2.45689984418813,0.729158150462368,-3.36950199710472,0.000753041454760911,0.0141134812628723
"ENSGALG00000053914",40.1075707372165,-2.61949784867712,0.271704705219314,-9.64097344785664,5.36765177954272e-22,4.54210693584905e-18
"ENSGALG00000054435",2.32929613938326,-2.71173838117246,0.77878387510757,-3.48201660030248,0.000497652840432073,0.0106075316045153
"ENSGALG00000054502",4.24110803064846,-1.84359604056239,0.52008015158066,-3.54483060920363,0.000392865472255676,0.00898493953034468
"ENSGALG00000054856",74.7754012629774,-1.99710832015954,0.285480943233758,-6.99559241165974,2.6414040807226e-12,2.79394516638433e-09
"ENSGALG00000055140",5.87812977861585,-1.09220529047562,0.358709242798232,-3.04482059607807,0.00232819143959075,0.030711077103378
