"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene"
1116.38991721767,2.56362505533374,0.501764867134803,5.10921593608707,3.23498462148815e-07,5.16888923759111e-05,"ENSGALG00000050515"
368.504785712812,2.87714603316523,0.56858061685635,5.06022531874689,4.18761325808473e-07,6.35876096190928e-05,"ENSGALG00000025899"
11386.0116540235,2.74841278494395,0.547351134973767,5.02129731598285,5.13236431757639e-07,7.32998440906232e-05,"ENSGALG00000007526"
12.9998606468887,1.31110770361099,0.261154281163606,5.02043350684961,5.1554995545649e-07,7.32998440906232e-05,"ENSGALG00000046749"
25.9906881210317,-1.11102454382374,0.221792660875695,-5.00929354216288,5.4630195597832e-07,7.57463464086634e-05,"ENSGALG00000052950"
103.719092488563,2.51770816218406,0.504120198994847,4.99426162094687,5.9061290717615e-07,7.99089737394699e-05,"ENSGALG00000049755"
33.4709564416152,1.25833504684533,0.25410193965187,4.95208753057651,7.34215632349619e-07,8.98276422957636e-05,"ENSGALG00000002845"
134.340554208438,1.06854059587804,0.215756176793433,4.95253768285423,7.32518652744292e-07,8.98276422957636e-05,"ENSGALG00000007874"
371.293373089972,-1.86838730567978,0.380691723564673,-4.90787477117918,9.20686082356108e-07,0.000105782478649146,"ENSGALG00000016400"
1513.47139886181,2.82209964493733,0.575579913621004,4.90305442937254,9.43578251694689e-07,0.000105782478649146,"ENSGALG00000054964"
68.0269753271977,1.28333941651621,0.262408165417756,4.89062302795769,1.00517308805916e-06,0.000110220842472997,"ENSGALG00000006992"
4.80291386155034,4.06745520451935,0.838740674531167,4.84947890096418,1.23786234941587e-06,0.00012819516442068,"ENSGALG00000044662"
11.6861072738571,-1.60554398949238,0.332277121550663,-4.83194263270267,1.3520721901009e-06,0.000134200509948462,"ENSGALG00000050718"
24.5513961448587,1.72898915257853,0.359094209424548,4.81486224840342,1.47301465970199e-06,0.000142848363848672,"ENSGALG00000051394"
1483.24954042642,2.76464900091294,0.574748182326051,4.81019181256771,1.50785526518141e-06,0.000145386711402003,"ENSGALG00000007530"
216.457779662681,1.50034077818146,0.312998847447618,4.79343866731823,1.63946596961513e-06,0.000156280230524051,"ENSGALG00000002576"
131.049229781997,-1.53519623544492,0.322410669612406,-4.76161734129486,1.9204757817945e-06,0.00017801006735451,"ENSGALG00000019552"
24.1307389167886,1.43846599875515,0.30225253406201,4.75915281643276,1.94407209956017e-06,0.000179207129749017,"ENSGALG00000014962"
81.039349078905,-1.38432006372869,0.295032379967616,-4.69209536892407,2.70421008110237e-06,0.000236804572614913,"ENSGALG00000014616"
8.08579741665891,1.76235274120942,0.375840518138685,4.68909725310434,2.74412955314068e-06,0.000237310626355882,"ENSGALG00000024272"
3.69671255589289,2.82381624402857,0.603276908757336,4.68079617011237,2.85762951417304e-06,0.000244604338567761,"ENSGALG00000034150"
30.8929201215799,-4.45368647212435,0.954205453095515,-4.66742928126878,3.04991673249206e-06,0.000253846362613717,"ENSGALG00000035803"
47.8672845268847,1.27255835873882,0.274209920015575,4.64081809537212,3.47032518086848e-06,0.000285400223330542,"ENSGALG00000012076"
677.647304298993,-1.39942947475268,0.301748901402693,-4.63772848301143,3.5225911082957e-06,0.000286885975844063,"ENSGALG00000028451"
42.9978712986179,-1.26284282619708,0.27394229931329,-4.60988620363753,4.02889439936239e-06,0.000320344840464942,"ENSGALG00000013720"
12.668992204785,1.59003144096888,0.346458659064488,4.58938288701546,4.4455833085912e-06,0.000337482131982962,"ENSGALG00000048054"
171.188692257102,-3.69418598333946,0.805477745756149,-4.58632904857168,4.51107446459205e-06,0.000340173656222829,"ENSGALG00000030025"
1439.04083216702,1.08313223655212,0.238992780978906,4.53207093584854,5.84082279152126e-06,0.000415218152429459,"ENSGALG00000016128"
122.749492229058,-1.09793203717897,0.243242417185921,-4.51373592599919,6.36955196154985e-06,0.000443410677422912,"ENSGALG00000029644"
13.8077915424799,1.93644637163419,0.429858044033734,4.50485084206596,6.64195787873332e-06,0.000460463336080616,"ENSGALG00000050467"
3.56060940587012,2.44676237546794,0.545050656711609,4.48905499945585,7.15398266277068e-06,0.000491894947267638,"ENSGALG00000027973"
65.0183397216599,3.60656527990744,0.804830320545105,4.48114986207868,7.42419549637048e-06,0.000506324096921169,"ENSGALG00000048053"
141.606991644308,-1.41182355793874,0.31645837217148,-4.46132471784854,8.14545557599021e-06,0.000538050000850079,"ENSGALG00000008444"
19.9750714663267,-2.07908008824863,0.466024410108997,-4.46131156040165,8.14595578565418e-06,0.000538050000850079,"ENSGALG00000047026"
45.6029038322432,2.70081731148993,0.605667008102297,4.45924456072364,8.22490308279165e-06,0.000541134113803904,"ENSGALG00000026098"
1754.28745493496,-1.32732439284114,0.298001960037304,-4.45407940496426,8.42539168865489e-06,0.00055215936078345,"ENSGALG00000010997"
346.084321729795,2.87594777284631,0.647400524903798,4.44230065039516,8.90020798739695e-06,0.000576520422411423,"ENSGALG00000005957"
364.11038336322,-2.30305962506083,0.521332503984386,-4.41764057959027,9.97841698370819e-06,0.000626384281656762,"ENSGALG00000015425"
800.820460427517,1.18714182432392,0.268626023769153,4.41931056294124,9.90162718302873e-06,0.000626384281656762,"ENSGALG00000031794"
93.5133957916286,-1.30124367150955,0.298199197900269,-4.36367260768,1.27896940021092e-05,0.000770174815019357,"ENSGALG00000012997"
15.3762414050745,-1.31256168572742,0.300936956761016,-4.36158356838097,1.29124458550523e-05,0.000773686086107903,"ENSGALG00000047038"
